MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;REFERENTIE;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Driel boven;DRIELBVN;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;29-03-2000;04:00:00;;;10;;Normale waarde;Gecontroleerd;ONXXREG_TEMP;Temperatuursensor;153;;;;;550;NAP;25831;693079,88039177;5760970,24423958;;;;;;;
;Driel boven;DRIELBVN;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;29-03-2000;05:00:00;;;10;;Normale waarde;Gecontroleerd;ONXXREG_TEMP;Temperatuursensor;153;;;;;550;NAP;25831;693079,88039177;5760970,24423958;;;;;;;
;Driel boven;DRIELBVN;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;29-03-2000;06:00:00;;;9,9;;Normale waarde;Gecontroleerd;ONXXREG_TEMP;Temperatuursensor;153;;;;;550;NAP;25831;693079,88039177;5760970,24423958;;;;;;;
;Driel boven;DRIELBVN;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;29-03-2000;07:00:00;;;9,9;;Normale waarde;Gecontroleerd;ONXXREG_TEMP;Temperatuursensor;153;;;;;550;NAP;25831;693079,88039177;5760970,24423958;;;;;;;
;Driel boven;DRIELBVN;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;29-03-2000;08:00:00;;;9,9;;Normale waarde;Gecontroleerd;ONXXREG_TEMP;Temperatuursensor;153;;;;;550;NAP;25831;693079,88039177;5760970,24423958;;;;;;;
;Driel boven;DRIELBVN;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;29-03-2000;09:00:00;;;9,9;;Normale waarde;Gecontroleerd;ONXXREG_TEMP;Temperatuursensor;153;;;;;550;NAP;25831;693079,88039177;5760970,24423958;;;;;;;
;Driel boven;DRIELBVN;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;29-03-2000;10:00:00;;;9,9;;Normale waarde;Gecontroleerd;ONXXREG_TEMP;Temperatuursensor;153;;;;;550;NAP;25831;693079,88039177;5760970,24423958;;;;;;;
;Driel boven;DRIELBVN;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;29-03-2000;11:00:00;;;9,9;;Normale waarde;Gecontroleerd;ONXXREG_TEMP;Temperatuursensor;153;;;;;550;NAP;25831;693079,88039177;5760970,24423958;;;;;;;
;Driel boven;DRIELBVN;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;29-03-2000;12:00:00;;;9,9;;Normale waarde;Gecontroleerd;ONXXREG_TEMP;Temperatuursensor;153;;;;;550;NAP;25831;693079,88039177;5760970,24423958;;;;;;;
;Driel boven;DRIELBVN;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;29-03-2000;13:00:00;;;9,9;;Normale waarde;Gecontroleerd;ONXXREG_TEMP;Temperatuursensor;153;;;;;550;NAP;25831;693079,88039177;5760970,24423958;;;;;;;
;Driel boven;DRIELBVN;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;29-03-2000;14:00:00;;;9,9;;Normale waarde;Gecontroleerd;ONXXREG_TEMP;Temperatuursensor;153;;;;;550;NAP;25831;693079,88039177;5760970,24423958;;;;;;;
