MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;REFERENTIE;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;01-01-1953;02:40:00;;;1;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;01-01-1953;05:40:00;;;119;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;01-01-1953;08:40:00;;;23;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;01-01-1953;11:40:00;;;-48;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;01-01-1953;14:40:00;;;-38;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;01-01-1953;17:40:00;;;117;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;01-01-1953;20:40:00;;;46;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;01-01-1953;23:40:00;;;-30;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;02-01-1953;02:40:00;;;-38;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;02-01-1953;05:40:00;;;94;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;02-01-1953;08:40:00;;;50;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;02-01-1953;11:40:00;;;-44;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;02-01-1953;14:40:00;;;-65;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;02-01-1953;17:40:00;;;110;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;02-01-1953;20:40:00;;;83;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;02-01-1953;23:40:00;;;-15;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;03-01-1953;02:40:00;;;-40;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;03-01-1953;05:40:00;;;92;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;03-01-1953;08:40:00;;;81;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;03-01-1953;11:40:00;;;-30;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;03-01-1953;14:40:00;;;-61;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;03-01-1953;17:40:00;;;100;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;03-01-1953;20:40:00;;;105;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
;Rotterdam;ROTTDM;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Visuele aflezing van blad;other:F009;Steekbemonstering;SB;03-01-1953;23:40:00;;;-6;;Normale waarde;Ongecontroleerd;RIKZMON_WAT;Vlotter;127;;;;;-999999999;NVT;25831;603140,026100252;5753205,34858951;;;;;;;
