MEETPUNT_IDENTIFICATIE,LOCATIE_CODE,WAARNEMINGDATUM,Average Temperatuur
Borgharen stuw.,BORGHRSW,07-11-2019,12.0
Borgharen stuw.,BORGHRSW,08-01-2019,7.0
Borgharen stuw.,BORGHRSW,08-01-2020,7.0
Borgharen stuw.,BORGHRSW,08-02-2019,6.0
Borgharen stuw.,BORGHRSW,08-04-2019,13.0
Borgharen stuw.,BORGHRSW,08-04-2020,13.0
Borgharen stuw.,BORGHRSW,08-05-2019,14.0
Borgharen stuw.,BORGHRSW,08-05-2020,17.0
Borgharen stuw.,BORGHRSW,08-06-2019,20.0
Borgharen stuw.,BORGHRSW,08-07-2019,23.0
Borgharen stuw.,BORGHRSW,08-08-2019,23.0
Borgharen stuw.,BORGHRSW,08-08-2020,24.333333333333332
Borgharen stuw.,BORGHRSW,08-09-2019,20.0
Borgharen stuw.,BORGHRSW,08-09-2020,19.0
Borgharen stuw.,BORGHRSW,08-10-2020,15.0
Borgharen stuw.,BORGHRSW,08-11-2020,12.0
Borgharen stuw.,BORGHRSW,08-12-2019,7.0
Borgharen stuw.,BORGHRSW,09-01-2019,7.0
Borgharen stuw.,BORGHRSW,09-01-2020,7.0
Borgharen stuw.,BORGHRSW,09-02-2020,7.0
Borgharen stuw.,BORGHRSW,09-03-2019,9.0
Borgharen stuw.,BORGHRSW,09-03-2020,8.0
Borgharen stuw.,BORGHRSW,09-04-2020,14.0
Borgharen stuw.,BORGHRSW,09-05-2019,14.0
Borgharen stuw.,BORGHRSW,09-05-2020,18.0
Borgharen stuw.,BORGHRSW,09-06-2019,20.0
Borgharen stuw.,BORGHRSW,09-06-2020,19.0
Borgharen stuw.,BORGHRSW,09-07-2019,23.0
Borgharen stuw.,BORGHRSW,09-08-2019,23.0
Borgharen stuw.,BORGHRSW,09-08-2020,25.0
Borgharen stuw.,BORGHRSW,09-09-2019,20.0
Borgharen stuw.,BORGHRSW,09-11-2019,11.0
Borgharen stuw.,BORGHRSW,09-12-2019,8.0
Borgharen stuw.,BORGHRSW,09-12-2020,6.0
Borgharen stuw.,BORGHRSW,10-01-2019,7.0
Borgharen stuw.,BORGHRSW,10-01-2020,8.0
Borgharen stuw.,BORGHRSW,10-03-2020,8.0
Borgharen stuw.,BORGHRSW,10-04-2019,13.0
Borgharen stuw.,BORGHRSW,10-04-2020,15.0
Borgharen stuw.,BORGHRSW,10-05-2019,14.0
Borgharen stuw.,BORGHRSW,10-05-2020,18.0
Borgharen stuw.,BORGHRSW,10-06-2019,20.0
Borgharen stuw.,BORGHRSW,10-06-2020,19.0
Borgharen stuw.,BORGHRSW,10-07-2019,23.0
Borgharen stuw.,BORGHRSW,10-08-2019,22.0
Borgharen stuw.,BORGHRSW,10-08-2020,25.0
Borgharen stuw.,BORGHRSW,10-10-2019,15.0
Borgharen stuw.,BORGHRSW,10-12-2019,8.0
Borgharen stuw.,BORGHRSW,10-12-2020,6.0
Borgharen stuw.,BORGHRSW,11-01-2019,7.0
Borgharen stuw.,BORGHRSW,11-01-2020,8.0
Borgharen stuw.,BORGHRSW,11-02-2020,7.0
Borgharen stuw.,BORGHRSW,11-03-2019,9.0
Borgharen stuw.,BORGHRSW,11-03-2020,9.0
Borgharen stuw.,BORGHRSW,11-04-2019,13.0
Borgharen stuw.,BORGHRSW,11-04-2020,15.0
Borgharen stuw.,BORGHRSW,11-05-2019,15.0
Borgharen stuw.,BORGHRSW,11-05-2020,17.0
Borgharen stuw.,BORGHRSW,11-06-2019,20.0
Borgharen stuw.,BORGHRSW,11-06-2020,19.0
Borgharen stuw.,BORGHRSW,11-07-2019,23.0
Borgharen stuw.,BORGHRSW,11-07-2020,21.0
Borgharen stuw.,BORGHRSW,11-08-2019,22.0
Borgharen stuw.,BORGHRSW,11-08-2020,25.0
